date,price
2025-06-30,103.13
2025-07-02,103.14
2025-07-03,102.98
2025-07-07,102.94
2025-07-08,102.48
2025-07-10,102.38
2025-07-14,102.05
2025-07-15,102.14
2025-07-17,102.22
2025-07-22,103.13
2025-07-24,102.63
2025-07-25,102.21
2025-07-28,102.54
2025-07-29,102.59
2025-07-31,102.55
2025-08-04,102.84
2025-08-05,102.88
2025-08-06,102.8
2025-08-07,102.86
2025-08-08,102.46
2025-08-12,102
2025-08-14,102.4
2025-08-18,101.77
2025-08-19,101.78
2025-08-20,101.96
2025-08-21,101.82
2025-08-22,101.74
2025-08-26,101.48
2025-08-27,101.39
2025-08-28,101.65
2025-08-29,101.57
2025-09-01,101.22
2025-09-02,100.97
2025-09-03,101.2
2025-09-04,101.63
2025-09-05,101.96
2025-09-08,102.18
2025-09-09,102.2
2025-09-11,102.33
2025-09-12,101.9
2025-09-15,102.04
2025-09-17,101.95
2025-09-18,101.87
2025-09-19,101.55
2025-09-22,101.62
2025-09-23,101.51
2025-09-24,101.45
2025-09-25,101.24
2025-09-29,101.51
2025-09-30,101.67
2025-10-01,101.72
2025-10-02,101.75
2025-10-03,101.76
2025-10-06,101.46
2025-10-07,101.44
2025-10-09,101.79
2025-10-13,102.21
2025-10-14,102.6
2025-10-15,103.06
2025-10-20,102.77
2025-10-21,102.87
2025-10-22,102.96
2025-10-24,102.5
2025-10-27,102.45
2025-10-28,102.42
2025-10-31,102.36
2025-11-03,102.46
2025-11-05,102.29
2025-11-10,102.38
2025-11-11,102.38
2025-11-12,102.6
2025-11-13,102.8
2025-11-17,102.22
2025-11-18,102.31
2025-11-20,102.07
2025-11-21,102.13
2025-11-25,102.27
2025-11-26,102.64
2025-12-01,102.12
2025-12-02,101.97
2025-12-03,101.93
2025-12-04,101.74
2025-12-05,101.75
2025-12-08,101.42
2025-12-09,101.39
2025-12-10,101.05
2025-12-11,101.42
2025-12-12,101.24
2025-12-15,101.48
2025-12-16,101.25
2025-12-17,101.28
2025-12-18,101.41
2025-12-19,101.21
2025-12-22,101.08
2025-12-23,101.35
2025-12-29,101.68
2026-01-02,101.24
2026-01-05,101.3
2026-01-09,101.73
2026-01-12,101.79
2026-01-13,101.65
2026-01-15,101.9
2026-01-16,101.67
2026-01-19,101.95
2026-01-20,101.48
2026-01-27,102.24
2026-01-28,102.4
2026-01-29,102.51
2026-01-30,102.25
2026-02-02,102.08
2026-02-06,102.31
2026-02-09,102.22
2026-02-10,102.47
2026-02-11,102.47
2026-02-12,102.75
2026-02-13,102.89
2026-02-17,103.1
2026-02-18,103.12
2026-02-20,103.18
2026-02-23,103.24
2026-02-24,103.39
2026-02-25,103.43
2026-02-27,103.5
2026-03-02,103.22
2026-03-03,102.44
2026-03-05,102.15
2026-03-06,101.7
2026-03-09,101.12
2026-03-10,102.14
2026-03-11,101.12
2026-03-12,100.97
2026-03-13,100.66
2026-03-16,101.1
2026-03-18,101.53
2026-03-19,100.62
2026-03-20,99.95
2026-03-23,100.23
2026-03-24,99.75
2026-03-25,100.41
2026-03-26,99.67
2026-03-27,99.1
2026-03-30,99.91
2026-03-31,100.02
2026-04-01,100.46
2026-04-02,99.93
2026-04-07,99.58
2026-04-08,101.44
2026-04-09,100.4
2026-04-10,100.47
2026-04-13,100
2026-04-14,100.21
2026-04-15,100.5
2026-04-16,100.59
2026-04-17,101.25
2026-04-20,100.76
2026-04-21,100.7
2026-04-22,100.74
2026-04-23,100.55
2026-04-24,100.63
2026-04-27,100.32
2026-04-28,100.2
2026-04-29,99.93
2026-04-30,100.23
2026-05-04,100.01
2026-05-05,100.03
2026-05-06,100.53
2026-05-07,100.94
2026-05-08,100.79
2026-05-11,100.49
2026-05-12,100
2026-05-13,100.01
2026-05-14,100.46
2026-05-15,99.64
2026-05-18,99.84
2026-05-19,99.44
2026-05-20,100.12
2026-05-21,100.08
2026-05-22,100.46
2026-05-25,101.14
2026-05-26,100.9
2026-05-27,101.01
2026-05-28,101.1
2026-05-29,101.04
2026-06-01,100.52
2026-06-02,101
2026-06-03,100.46
2026-06-04,100.4
2026-06-05,100.26
2026-06-08,100.23
2026-06-09,100.23
2026-06-10,100.09
2026-06-11,100.28
2026-06-12,100.69
2026-06-15,100.94
2026-06-16,101.08
2026-06-19,100.62
2026-06-22,100.8
2026-06-23,101.14
2026-06-24,101.39
2026-06-25,101.35
2026-06-26,101.38
2026-06-30,101.36
